0,754.1,2026-07-11 22:46:38,violation_0_1783790198.jpg
4,446.3,2026-07-11 22:46:38,violation_4_1783790198.jpg
6,384.0,2026-07-11 22:46:39,violation_6_1783790199.jpg
10,383.3,2026-07-11 22:46:39,violation_10_1783790199.jpg
11,434.4,2026-07-11 22:46:39,violation_11_1783790199.jpg
12,407.7,2026-07-11 22:46:39,violation_12_1783790199.jpg
8,393.7,2026-07-11 22:46:39,violation_8_1783790199.jpg
15,878.5,2026-07-11 22:46:42,violation_15_1783790202.jpg
8,262.2,2026-07-11 22:46:43,violation_8_1783790203.jpg
22,390.4,2026-07-11 22:46:45,violation_22_1783790205.jpg
37,268.1,2026-07-11 22:46:55,violation_37_1783790215.jpg
41,377.6,2026-07-11 22:47:06,violation_41_1783790226.jpg
39,131.9,2026-07-11 22:47:07,violation_39_1783790227.jpg
43,354.8,2026-07-11 22:47:07,violation_43_1783790227.jpg
47,325.6,2026-07-11 22:47:09,violation_47_1783790229.jpg
48,970.0,2026-07-11 22:47:09,violation_48_1783790229.jpg
49,1075.3,2026-07-11 22:47:10,violation_49_1783790230.jpg
51,362.8,2026-07-11 22:47:10,violation_51_1783790230.jpg
52,977.6,2026-07-11 22:47:11,violation_52_1783790231.jpg
53,284.3,2026-07-11 22:47:12,violation_53_1783790232.jpg
71,193.1,2026-07-11 22:47:20,violation_71_1783790240.jpg
77,199.6,2026-07-11 22:47:21,violation_77_1783790241.jpg
78,193.1,2026-07-11 22:47:22,violation_78_1783790242.jpg
82,184.8,2026-07-11 22:47:24,violation_82_1783790244.jpg
92,259.1,2026-07-11 22:47:33,violation_92_1783790253.jpg
94,1030.0,2026-07-11 22:47:34,violation_94_1783790254.jpg
98,408.0,2026-07-11 22:47:34,violation_98_1783790254.jpg
100,356.4,2026-07-11 22:47:35,violation_100_1783790255.jpg
104,361.3,2026-07-11 22:47:35,violation_104_1783790255.jpg
105,428.7,2026-07-11 22:47:35,violation_105_1783790255.jpg
106,392.4,2026-07-11 22:47:35,violation_106_1783790255.jpg
102,422.7,2026-07-11 22:47:35,violation_102_1783790255.jpg
109,776.0,2026-07-11 22:47:38,violation_109_1783790258.jpg
102,262.7,2026-07-11 22:47:39,violation_102_1783790259.jpg
116,387.5,2026-07-11 22:47:41,violation_116_1783790261.jpg
131,255.8,2026-07-11 22:47:52,violation_131_1783790272.jpg
135,341.6,2026-07-11 22:48:03,violation_135_1783790283.jpg
0,834.0314211670238,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,586.7526835324169,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,734.8133525585818,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,518.1980597526741,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,697.4206820849112,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,492.1036102242451,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,735.3491985590629,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,519.3099328612828,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,695.6621270853564,2026-07-11 22:52:47,violation_0_1783790567.jpg
0,490.8756845366958,2026-07-11 22:52:47,violation_0_1783790567.jpg
4,329.3076668015474,2026-07-11 22:52:47,violation_4_1783790567.jpg
0,679.5735870733324,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,483.5496441765556,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,725.9965253814466,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,508.19756776701263,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,695.6067953060442,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,492.50537728203193,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,732.0570876520753,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,516.8733116016751,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,693.1039914982933,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,485.1727940488053,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,745.8206039097654,2026-07-11 22:52:48,violation_0_1783790568.jpg
0,528.6703635212157,2026-07-11 22:52:48,violation_0_1783790568.jpg
